time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
3.985326606388885e-08	3.873067e-01	3.873965e-01	8.541894e-01	8.541287e-01	1.728157e-01	9.385709e-01
4.007787543888885e-08	3.649050e-01	3.649701e-01	8.627824e-01	8.627314e-01	1.617309e-01	9.461181e-01
4.030248481388885e-08	3.436819e-01	3.437288e-01	8.712649e-01	8.712221e-01	1.514092e-01	9.535632e-01
4.052709418888886e-08	3.235965e-01	3.236303e-01	8.796384e-01	8.796027e-01	1.417903e-01	9.609002e-01
4.075170356388886e-08	3.046058e-01	3.046299e-01	8.879037e-01	8.878738e-01	1.328213e-01	9.681244e-01
4.097631293888886e-08	2.866647e-01	2.866817e-01	8.960607e-01	8.960356e-01	1.244535e-01	9.752340e-01
4.120092231388886e-08	2.697277e-01	2.697396e-01	9.041089e-01	9.040879e-01	1.166435e-01	9.822279e-01
4.142553168888887e-08	2.537491e-01	2.537573e-01	9.120479e-01	9.120303e-01	1.093509e-01	9.891062e-01
4.165014106388887e-08	2.386836e-01	2.386892e-01	9.198771e-01	9.198624e-01	1.025395e-01	9.958693e-01
4.187475043888887e-08	2.244867e-01	2.244903e-01	9.275961e-01	9.275838e-01	9.617534e-02	1.002518e+00
4.209935981388888e-08	2.111146e-01	2.111169e-01	9.352045e-01	9.351943e-01	9.022778e-02	1.009054e+00
4.232396918888888e-08	1.985251e-01	1.985264e-01	9.427022e-01	9.426936e-01	8.466819e-02	1.015477e+00
4.254857856388888e-08	1.866771e-01	1.866777e-01	9.500890e-01	9.500818e-01	7.947033e-02	1.021789e+00
4.277318793888888e-08	1.755309e-01	1.755311e-01	9.573649e-01	9.573588e-01	7.460974e-02	1.027992e+00
4.299779731388889e-08	1.650485e-01	1.650485e-01	9.645301e-01	9.645250e-01	7.006390e-02	1.034085e+00
4.322240668888889e-08	1.551935e-01	1.551932e-01	9.715849e-01	9.715807e-01	6.581178e-02	1.040072e+00
4.344701606388889e-08	1.459308e-01	1.459304e-01	9.785296e-01	9.785261e-01	6.183393e-02	1.045952e+00
4.367162543888890e-08	1.372272e-01	1.372267e-01	9.853647e-01	9.853618e-01	5.811220e-02	1.051728e+00
4.389623481388890e-08	1.290507e-01	1.290503e-01	9.920908e-01	9.920883e-01	5.462974e-02	1.057401e+00
4.412084418888890e-08	1.213712e-01	1.213707e-01	9.987084e-01	9.987064e-01	5.137083e-02	1.062972e+00
4.434545356388890e-08	1.141599e-01	1.141595e-01	1.005218e+00	1.005217e+00	4.832084e-02	1.068442e+00
4.457006293888891e-08	1.073895e-01	1.073891e-01	1.011621e+00	1.011620e+00	4.546611e-02	1.073813e+00
